Make,Model,Price,Make_Year,CC,Assembly,Mileage,Registered City,Transmission
14,72,2100000,2020,660,0,0.001399002798005596,180,1
61,32,2325000,2014,1500,0,0.10999921999843999,80,1
61,96,3000000,2018,1300,1,0.008499016998033996,97,0
25,87,3400000,2017,1800,0,0.06499912999825999,97,1
61,362,2200000,2018,1000,0,0.05099910199820399,180,1
25,87,560000,1995,1500,1,0.5,80,0
43,217,1800000,2018,1000,0,0.03799907599815199,66,1
61,96,2400000,2015,1300,1,0.078999157998316,144,0
59,126,1300000,2015,660,0,0.09499918999837999,97,1
25,170,6900000,2019,1500,0,0.025999051998103994,180,1
61,362,1875000,2014,1000,0,0.0999991999984,97,1
44,238,1040000,2008,660,0,0.088999177998356,97,1
61,96,2875000,2017,1300,1,0.027799055598111192,97,0
61,96,1725000,2018,1500,0,0.04499908999817999,180,1
61,96,1725000,2018,1500,0,0.04949909899819799,180,1
59,327,1050000,2010,1300,1,0.0999991999984,66,0
61,96,1350000,1994,1500,1,9.000018000036e-06,97,0
25,87,1900000,2009,1800,1,0.08999917999835999,80,1
25,86,1150000,2008,1300,1,0.000126000252000504,80,0
61,362,1850000,2012,1000,0,0.15999931999863998,66,1
61,96,3350000,2018,1600,1,0.04119908239816479,66,1
61,163,5100000,2014,2500,0,0.0749991499983,80,1
61,259,2515000,2011,1800,0,0.14699929399858797,66,1
58,320,2100000,2017,660,0,0.03899907799815599,180,1
61,96,1950000,2012,1600,1,0.11999923999847999,66,0
25,358,4500000,2015,1500,0,0.070999141998284,180,1
25,196,980000,2013,660,0,0.09670419340838682,97,1
61,96,2200000,2013,1600,1,0.086999173998348,97,1
61,96,1650000,2012,1300,1,0.19999939999879998,97,0
27,294,750000,2005,1000,1,0.19999939999879998,97,0
25,358,3900000,2014,1500,0,0.02899905799811599,66,1
61,96,1850000,2013,1600,1,0.113999227998456,97,1
61,96,4450000,2021,1800,1,0.003699007398014796,180,1
35,247,2160000,2020,1000,0,0.008852017704035408,97,1
25,87,2475000,2015,1800,1,0.08499916999834,66,1
25,226,1620000,2013,660,0,0.063999127998256,97,1
25,86,1190000,2015,1500,1,0.091999183998368,97,1
61,49,1435000,2007,1000,0,0.13799927599855197,97,1
59,364,1485000,2015,660,0,0.067999135998272,66,1
